"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Santipur,86,GEN,Nadia,Swapan Kumar Das,Bharatiya Janata Party,227477,214043,94.1 %,45376,21.2%
Saptagram,193,GEN,Hooghly,Swaraj Ghosh,Bharatiya Janata Party,210370,195483,92.9 %,23289,11.9%
Satgachhia,145,GEN,South_24_parganas,Agniswar Naskar,Bharatiya Janata Party,256251,237716,92.8 %,401,0.2%
Shibpur,172,GEN,Haora,Rudranil Ghosh,Bharatiya Janata Party,194963,180023,92.3 %,16058,8.9%
Shyampukur,166,GEN,Kolkata_north,Purnima Chakraborty,Bharatiya Janata Party,131819,115826,87.9 %,14633,12.6%
Shyampur,179,GEN,Haora,Dr. Hiranmoy Chattopadhyaya (HIRAAN),Bharatiya Janata Party,259278,243576,93.9 %,22260,9.1%
Siliguri,26,GEN,Darjeeling,Shankar Ghosh,Bharatiya Janata Party,200779,182349,90.8 %,73192,40.1%
Singur,188,GEN,Hooghly,Arup Kumar Das,Bharatiya Janata Party,237388,220683,93.0 %,21438,9.7%
Sitai,6,SC,Coochbehar,Sangita Roy,All India Trinamool Congress,273126,263995,96.7 %,2721,1.0%
Sitalkuchi,5,SC,Coochbehar,Sabitri Barman,Bharatiya Janata Party,285548,278168,97.4 %,25278,9.1%
Sonamukhi,258,SC,Bankura,Dibakar Gharami,Bharatiya Janata Party,235770,219791,93.2 %,29410,13.4%
Sonarpur Dakshin,147,GEN,South_24_parganas,Rupa Ganguly,Bharatiya Janata Party,260993,244443,93.7 %,35782,14.6%
Sonarpur Uttar,151,GEN,South_24_parganas,Debasish Dhar,Bharatiya Janata Party,273219,254845,93.3 %,9807,3.8%
Sreerampur,186,GEN,Hooghly,Bhaskar Bhattacharya,Bharatiya Janata Party,205662,184480,89.7 %,8685,4.7%
Sujapur,53,GEN,Malda,Sabina Yeasmin,All India Trinamool Congress,236443,226173,95.7 %,60287,26.7%
Suri,285,GEN,Birbhum,Jagannath Chattopadhyay,Bharatiya Janata Party,252071,236672,93.9 %,28686,12.1%
Suti,57,GEN,Murshidabad,Emani Biswas,All India Trinamool Congress,229208,219117,95.6 %,12357,5.6%
Swarupnagar,98,SC,North_24_parganas,Bina Mondal,All India Trinamool Congress,228965,216890,94.7 %,16017,7.4%
Taldangra,251,GEN,Bankura,Souvik Patra,Bharatiya Janata Party,235685,218237,92.6 %,50073,22.9%
Tamluk,203,GEN,Purbo_medinipur,Hare Krishna Bera,Bharatiya Janata Party,274508,255347,93.0 %,34729,13.6%
Tapan,40,ST,Dakshin Dinajpur,Budhrai Tudu,Bharatiya Janata Party,194914,185261,95.0 %,36987,20.0%
Tarakeswar,198,GEN,Hooghly,Santu Pan,Bharatiya Janata Party,235441,220093,93.5 %,30999,14.1%
Tehatta,78,GEN,Nadia,Subrata Kabiraj,Bharatiya Janata Party,252431,232666,92.2 %,28253,12.1%
Tollyganj,152,GEN,South_24_parganas,Papia Adhikary,Bharatiya Janata Party,229994,204160,88.8 %,6013,2.9%
Tufanganj,9,GEN,Coochbehar,Malati Rava Roy,Bharatiya Janata Party,237667,229408,96.5 %,26457,11.5%
Udaynarayanpur,182,GEN,Haora,Samir Kumar Panja,All India Trinamool Congress,229091,212581,92.8 %,12227,5.8%
Uluberia Dakshin,178,GEN,Haora,Pulak Roy,All India Trinamool Congress,237057,224825,94.8 %,17187,7.6%
Uluberia Purba,176,GEN,Haora,Ritabrata Banerjee,All India Trinamool Congress,218481,206774,94.6 %,11838,5.7%
Uluberia Uttar,177,SC,Haora,Chiran Bera,Bharatiya Janata Party,214671,202375,94.3 %,4177,2.1%
Uttarpara,185,GEN,Hooghly,Dipanjan Chakraborty,Bharatiya Janata Party,228272,203732,89.2 %,10415,5.1%
